Series,Timestamp,Result
BTC Price,1/1/2017,995.475
BTC Price,1/2/2017,1013.25
BTC Price,1/3/2017,1024.26
BTC Price,1/4/2017,1132.655
BTC Price,1/5/2017,1011
BTC Price,1/6/2017,892.905
BTC Price,1/7/2017,906.22
BTC Price,1/8/2017,921.655
BTC Price,1/9/2017,903.045
BTC Price,1/10/2017,907.215
BTC Price,1/11/2017,796.59
BTC Price,1/12/2017,817.245
BTC Price,1/13/2017,830.8
BTC Price,1/14/2017,826.19
BTC Price,1/15/2017,831.145
BTC Price,1/16/2017,834.2
BTC Price,1/17/2017,905.545
BTC Price,1/18/2017,883.455
BTC Price,1/19/2017,900.85
BTC Price,1/20/2017,894.795
BTC Price,1/21/2017,925.16
BTC Price,1/22/2017,927.605
BTC Price,1/23/2017,916.005
BTC Price,1/24/2017,888.875
BTC Price,1/25/2017,896.115
BTC Price,1/26/2017,917.41
BTC Price,1/27/2017,923.31
BTC Price,1/28/2017,924.715
BTC Price,1/29/2017,917.22
BTC Price,1/30/2017,923.445
BTC Price,1/31/2017,970.245
BTC Price,2/1/2017,989.86
BTC Price,2/2/2017,1008.08
BTC Price,2/3/2017,1016.745
BTC Price,2/4/2017,1035.3
BTC Price,2/5/2017,1015.895
BTC Price,2/6/2017,1024.155
BTC Price,2/7/2017,1053.53
BTC Price,2/8/2017,1058.205
BTC Price,2/9/2017,988.59
BTC Price,2/10/2017,1003.47
BTC Price,2/11/2017,1017.825
BTC Price,2/12/2017,1009.5
BTC Price,2/13/2017,1003.28
BTC Price,2/14/2017,1013.38
BTC Price,2/15/2017,1015.13
BTC Price,2/16/2017,1037.945
BTC Price,2/17/2017,1059.665
BTC Price,2/18/2017,1063.2
BTC Price,2/19/2017,1059.935
BTC Price,2/20/2017,1078.24
BTC Price,2/21/2017,1128.105
BTC Price,2/22/2017,1129.185
BTC Price,2/23/2017,1184.47
BTC Price,2/24/2017,1185.995
BTC Price,2/25/2017,1156.9
BTC Price,2/26/2017,1183.57
BTC Price,2/27/2017,1193.58
BTC Price,2/28/2017,1196.025
BTC Price,3/1/2017,1229.135
BTC Price,3/2/2017,1268.045
BTC Price,3/3/2017,1290.33
BTC Price,3/4/2017,1273.755
BTC Price,3/5/2017,1278.48
BTC Price,3/6/2017,1283.8
BTC Price,3/7/2017,1233.855
BTC Price,3/8/2017,1159.91
BTC Price,3/9/2017,1197.9
BTC Price,3/10/2017,1099.21
BTC Price,3/11/2017,1185.04
BTC Price,3/12/2017,1237.735
BTC Price,3/13/2017,1245.965
BTC Price,3/14/2017,1248.605
BTC Price,3/15/2017,1261
BTC Price,3/16/2017,1175.905
BTC Price,3/17/2017,1076.76
BTC Price,3/18/2017,956.74
BTC Price,3/19/2017,1028.635
BTC Price,3/20/2017,1045.165
BTC Price,3/21/2017,1114.605
BTC Price,3/22/2017,1029.04
BTC Price,3/23/2017,1022.49
BTC Price,3/24/2017,933.6
BTC Price,3/25/2017,961.035
BTC Price,3/26/2017,966.71
BTC Price,3/27/2017,1039.89
BTC Price,3/28/2017,1044.425
BTC Price,3/29/2017,1041.185
BTC Price,3/30/2017,1040.735
BTC Price,3/31/2017,1089.99
BTC Price,4/1/2017,1088.76
BTC Price,4/2/2017,1113.4
BTC Price,4/3/2017,1153.38
BTC Price,4/4/2017,1142.6
BTC Price,4/5/2017,1130.315
BTC Price,4/6/2017,1195.395
BTC Price,4/7/2017,1192.375
BTC Price,4/8/2017,1183.44
BTC Price,4/9/2017,1211.455
BTC Price,4/10/2017,1209
BTC Price,4/11/2017,1225.325
BTC Price,4/12/2017,1213.245
BTC Price,4/13/2017,1176.36
BTC Price,4/14/2017,1173.785
BTC Price,4/15/2017,589.455
BTC Price,4/16/2017,1178.98
BTC Price,4/17/2017,1190.86
BTC Price,4/18/2017,1201.67
BTC Price,4/19/2017,1210.275
